"links",,,"Original_ID",,,"Original_ID"
"https://www.google.com/search?q=Civitas%20Capital%20Group%2C%20","INDEX 20",20,"INDEX 20"," Orquest Inversiones ","https://www.google.com/search?q=%C2%A0Orquest%20Inversiones%C2%A0","INDEX 20"
"https://www.google.com/search?q=7%20Bridges%20Capital%20Partners","INDEX 21",21,"INDEX 21","Investment Revenue Realty (IRR)","https://www.google.com/search?q=Investment%20Revenue%20Realty%20%28IRR%29","INDEX 21"
"https://www.google.com/search?q=TIAA%20CREF","INDEX 22",22,"INDEX 22","Letovsky Real Estate Corporation","https://www.google.com/search?q=Letovsky%20Real%20Estate%20Corporation","INDEX 22"
"https://www.google.com/search?q=Step%20Stone%20","INDEX 23",23,"INDEX 23","JD Lawrence ","https://www.google.com/search?q=JD%20Lawrence%20","INDEX 23"
"https://www.google.com/search?q=Blackstone%2C%20The%20Carlyle%20Group%2C%20CVC%20Capital%20Partners%2C%20Warburg%20Pincus%20and%20Neuberger%20Berman%20Group%20have%20a%20presence%20in%20the%20continent","INDEX 24",24,"INDEX 24","Jonatan Lungerston ","https://www.google.com/search?q=Jonatan%20Lungerston%20","INDEX 24"
,"INDEX 25",25,"INDEX 25"," Adler Partners","https://www.google.com/search?q=%20Adler%20Partners","INDEX 25"
,"INDEX 26",26,"INDEX 26","CanAm Enterprises","https://www.google.com/search?q=CanAm%20Enterprises","INDEX 26"
,"INDEX 27",27,"INDEX 27","Cobra Development Fund","https://www.google.com/search?q=Cobra%20Development%20Fund","INDEX 27"
,"INDEX 28",28,"INDEX 28","Encore Capital Management","https://www.google.com/search?q=Encore%20Capital%20Management","INDEX 28"
,"INDEX 29",29,"INDEX 29","Grupo Los Pueblos","https://www.google.com/search?q=Grupo%20Los%20Pueblos","INDEX 29"
,"INDEX 30",30,"INDEX 30","Lloyd Jones Capital","https://www.google.com/search?q=Lloyd%20Jones%20Capital","INDEX 30"
,"INDEX 31",31,"INDEX 31","NAI Panamericas","https://www.google.com/search?q=NAI%20Panamericas","INDEX 31"
,"INDEX 32",32,"INDEX 32","Nucleos Inmobiliaria","https://www.google.com/search?q=Nucleos%20Inmobiliaria","INDEX 32"
,"INDEX 33",33,"INDEX 33","Range Capital Fund","https://www.google.com/search?q=Range%20Capital%20Fund","INDEX 33"
,"INDEX 34",34,"INDEX 34","Sentinel Real Estate Group","https://www.google.com/search?q=Sentinel%20Real%20Estate%20Group","INDEX 34"
,"INDEX 35",35,"INDEX 35","Sixty West Funds","https://www.google.com/search?q=Sixty%20West%20Funds","INDEX 35"
,"INDEX 36",36,"INDEX 36","Savills","https://www.google.com/search?q=Savills","INDEX 36"
,"INDEX 37",37,"INDEX 37","SparrowHawk Real Estate","https://www.google.com/search?q=SparrowHawk%20Real%20Estate","INDEX 37"
,"INDEX 38",38,"INDEX 38","Sugoi Development USA","https://www.google.com/search?q=Sugoi%20Development%20USA","INDEX 38"
,"INDEX 39",39,"INDEX 39","Titan Fund Management","https://www.google.com/search?q=Titan%20Fund%20Management","INDEX 39"
,"INDEX 40",40,"INDEX 40","Civitas Capital Group, ","https://www.google.com/search?q=Civitas%20Capital%20Group%2C%20","INDEX 40"
,"INDEX 41",41,"INDEX 41","7 Bridges Capital Partners","https://www.google.com/search?q=7%20Bridges%20Capital%20Partners","INDEX 41"
,"INDEX 42",42,"INDEX 42","TIAA CREF","https://www.google.com/search?q=TIAA%20CREF","INDEX 42"
,"INDEX 43",43,"INDEX 43","Step Stone ","https://www.google.com/search?q=Step%20Stone%20","INDEX 43"
,"INDEX 44",44,"INDEX 44","Blackstone, The Carlyle Group, CVC Capital Partners, Warburg Pincus and Neuberger Berman Group have a presence in the continent","https://www.google.com/search?q=Blackstone%2C%20The%20Carlyle%20Group%2C%20CVC%20Capital%20Partners%2C%20Warburg%20Pincus%20and%20Neuberger%20Berman%20Group%20have%20a%20presence%20in%20the%20continent","INDEX 44"
,"INDEX 45",45,"INDEX 45","https://www.privateequityinternational.com/database/#/pei-300","https://www.google.com/search?q=https%3A%2F%2Fwww%2Eprivateequityinternational%2Ecom%2Fdatabase%2F%23%2Fpei-300","INDEX 45"
,"INDEX 46",46,"INDEX 46","GTIS","https://www.google.com/search?q=GTIS","INDEX 46"
,"INDEX 47",47,"INDEX 47","Hines","https://www.google.com/search?q=Hines","INDEX 47"
,"INDEX 48",48,"INDEX 48","Tishman-Spayer","https://www.google.com/search?q=Tishman-Spayer","INDEX 48"
,"INDEX 49",49,"INDEX 49","Peninsula","https://www.google.com/search?q=Peninsula","INDEX 49"
,"INDEX 50",50,"INDEX 50","LA Salle","https://www.google.com/search?q=LA%20Salle","INDEX 50"
,,51,"INDEX 51","http://rcdhotels.com/about-us-2/","https://www.google.com/search?q=http%3A%2F%2Frcdhotels%2Ecom%2Fabout-us-2%2F","INDEX 51"
,,52,"INDEX 52","http://holaconference.com/program/","https://www.google.com/search?q=http%3A%2F%2Fholaconference%2Ecom%2Fprogram%2F","INDEX 52"
,,53,"INDEX 53","AM resorts- ex melia guy for cartagena - fernando","https://www.google.com/search?q=AM%20resorts-%20ex%20melia%20guy%20for%20cartagena%20-%20fernando","INDEX 53"
,,54,"INDEX 54","https://www.carmocompanies.com/conference/","https://www.google.com/search?q=https%3A%2F%2Fwww%2Ecarmocompanies%2Ecom%2Fconference%2F","INDEX 54"
,,55,"INDEX 55","https://www.carmocompanies.com/toronto/2018/1/12/canada-latin-america-meeting","https://www.google.com/search?q=https%3A%2F%2Fwww%2Ecarmocompanies%2Ecom%2Ftoronto%2F2018%2F1%2F12%2Fcanada-latin-america-meeting","INDEX 55"
,,56,"INDEX 56","Boston Andeshttp://bostonandes.com/team.html","https://www.google.com/search?q=Boston%20Andeshttp%3A%2F%2Fbostonandes%2Ecom%2Fteam%2Ehtml","INDEX 56"
,,57,"INDEX 57","https://www.libra.com/en/what-we-do/real-estate/","https://www.google.com/search?q=https%3A%2F%2Fwww%2Elibra%2Ecom%2Fen%2Fwhat-we-do%2Freal-estate%2F","INDEX 57"
,,58,"INDEX 58","https://www.latamismiami.com/agenda.html","https://www.google.com/search?q=https%3A%2F%2Fwww%2Elatamismiami%2Ecom%2Fagenda%2Ehtml","INDEX 58"
,,59,"INDEX 59","https://www.latamismiami.com/agenda.html","https://www.google.com/search?q=https%3A%2F%2Fwww%2Elatamismiami%2Ecom%2Fagenda%2Ehtml","INDEX 59"
,,60,"INDEX 60","PRU","https://www.google.com/search?q=PRU","INDEX 60"
,,61,"INDEX 61","PEN","https://www.google.com/search?q=PEN","INDEX 61"
,,62,"INDEX 62","Paladin","https://www.google.com/search?q=Paladin","INDEX 62"
,,63,"INDEX 63","Carlyle ","https://www.google.com/search?q=Carlyle%C2%A0","INDEX 63"
,,64,"INDEX 64","TC","https://www.google.com/search?q=TC","INDEX 64"
,,65,"INDEX 65","Jamestown ","https://www.google.com/search?q=Jamestown%C2%A0","INDEX 65"
,,66,"INDEX 66","Blackstone","https://www.google.com/search?q=Blackstone","INDEX 66"
,,67,"INDEX 67","Goldman Sachs ","https://www.google.com/search?q=Goldman%20Sachs%C2%A0","INDEX 67"
,,68,"INDEX 68","Terranum","https://www.google.com/search?q=Terranum","INDEX 68"
,,69,"INDEX 69","Avenida capital","https://www.google.com/search?q=Avenida%20capital","INDEX 69"
,,70,"INDEX 70","Equity international ","https://www.google.com/search?q=Equity%20international%C2%A0","INDEX 70"
,,71,"INDEX 71","Grupo Pegasus","https://www.google.com/search?q=Grupo%20Pegasus","INDEX 71"
,,72,"INDEX 72","Grupo centauro ","https://www.google.com/search?q=Grupo%20centauro%C2%A0","INDEX 72"
,,73,"INDEX 73","Patria ","https://www.google.com/search?q=Patria%C2%A0","INDEX 73"
,,74,"INDEX 74","Southern Cross ","https://www.google.com/search?q=Southern%20Cross%C2%A0","INDEX 74"
,,75,"INDEX 75","Southern Bridge Capital ","https://www.google.com/search?q=Southern%20Bridge%20Capital%20","INDEX 75"
,,76,"INDEX 76","The Rohatyn Group ","https://www.google.com/search?q=The%20Rohatyn%20Group%C2%A0","INDEX 76"
,,77,"INDEX 77","Walton","https://www.google.com/search?q=Walton","INDEX 77"
,,78,"INDEX 78","La Salle","https://www.google.com/search?q=La%20Salle","INDEX 78"
,,79,"INDEX 79","Centauros Capital","https://www.google.com/search?q=Centauros%20Capital","INDEX 79"
,,80,"INDEX 80","JE Roberts","https://www.google.com/search?q=JE%20Roberts","INDEX 80"
,,81,"INDEX 81","Rogiero Basso ","https://www.google.com/search?q=Rogiero%20Basso%20","INDEX 81"
,,82,"INDEX 82","Morgan Stanley","https://www.google.com/search?q=Morgan%20Stanley","INDEX 82"
,,83,"INDEX 83",,"#VALUE!","INDEX 83"
,,84,"INDEX 84","Exit Kingdom Realty","https://www.google.com/search?q=Exit%20Kingdom%20Realty","INDEX 84"
,,85,"INDEX 85",,,"INDEX 85"
,,86,"INDEX 86",,,"INDEX 86"
,,87,"INDEX 87",,,"INDEX 87"
,,88,"INDEX 88",,,"INDEX 88"
,,89,"INDEX 89",,,"INDEX 89"
,,90,"INDEX 90",,,"INDEX 90"
,,91,"INDEX 91",,,"INDEX 91"
,,92,"INDEX 92",,,"INDEX 92"
,,93,"INDEX 93",,,"INDEX 93"
,,94,"INDEX 94",,,"INDEX 94"
,,95,"INDEX 95",,,"INDEX 95"
,,96,"INDEX 96",,,"INDEX 96"
,,97,"INDEX 97",,,"INDEX 97"
,,98,"INDEX 98",,,"INDEX 98"
,,99,"INDEX 99",,,"INDEX 99"
,,100,"INDEX 100",,,"INDEX 100"
,,101,"INDEX 101",,,"INDEX 101"
,,102,"INDEX 102",,,"INDEX 102"
,,103,"INDEX 103",,,"INDEX 103"
,,104,"INDEX 104",,,"INDEX 104"
,,105,"INDEX 105",,,"INDEX 105"
,,106,"INDEX 106",,,"INDEX 106"
,,107,"INDEX 107",,,"INDEX 107"
,,108,"INDEX 108",,,"INDEX 108"
,,109,"INDEX 109",,,"INDEX 109"
,,110,"INDEX 110",,,"INDEX 110"
,,111,"INDEX 111",,,"INDEX 111"
,,112,"INDEX 112",,,"INDEX 112"
,,113,"INDEX 113",,,"INDEX 113"
,,114,"INDEX 114",,,"INDEX 114"
,,115,"INDEX 115",,,"INDEX 115"
,,116,"INDEX 116",,,"INDEX 116"
,,117,"INDEX 117",,,"INDEX 117"
,,118,"INDEX 118",,,"INDEX 118"
,,119,"INDEX 119",,,"INDEX 119"
,,120,"INDEX 120",,,"INDEX 120"
,,121,"INDEX 121",,,"INDEX 121"
,,122,"INDEX 122",,,"INDEX 122"
,,123,"INDEX 123",,,"INDEX 123"
,,124,"INDEX 124",,,"INDEX 124"
,,125,"INDEX 125",,,"INDEX 125"
,,126,"INDEX 126",,,"INDEX 126"
,,127,"INDEX 127",,,"INDEX 127"
,,128,"INDEX 128",,,"INDEX 128"
,,129,"INDEX 129",,,"INDEX 129"
,,130,"INDEX 130",,,"INDEX 130"
,,131,"INDEX 131",,,"INDEX 131"
,,132,"INDEX 132",,,"INDEX 132"
,,133,"INDEX 133",,,"INDEX 133"
,,134,"INDEX 134",,,"INDEX 134"
,,135,"INDEX 135",,,"INDEX 135"
,,136,"INDEX 136",,,"INDEX 136"
,,137,"INDEX 137",,,"INDEX 137"
,,138,"INDEX 138",,,"INDEX 138"
,,139,"INDEX 139",,,"INDEX 139"
,,140,"INDEX 140",,,"INDEX 140"
,,141,"INDEX 141",,,"INDEX 141"
,,142,"INDEX 142",,,"INDEX 142"
,,143,"INDEX 143",,,"INDEX 143"
,,144,"INDEX 144",,,"INDEX 144"
,,145,"INDEX 145",,,"INDEX 145"
,,146,"INDEX 146",,,"INDEX 146"
,,147,"INDEX 147",,,"INDEX 147"
,,148,"INDEX 148",,,"INDEX 148"
,,149,"INDEX 149",,,"INDEX 149"
,,150,"INDEX 150",,,"INDEX 150"
,,151,"INDEX 151",,,"INDEX 151"
,,152,"INDEX 152",,,"INDEX 152"
,,153,"INDEX 153",,,"INDEX 153"
,,154,"INDEX 154",,,"INDEX 154"
,,155,"INDEX 155",,,"INDEX 155"
,,156,"INDEX 156",,,"INDEX 156"
,,157,"INDEX 157",,,"INDEX 157"
,,158,"INDEX 158",,,"INDEX 158"
,,159,"INDEX 159",,,"INDEX 159"
,,160,"INDEX 160",,,"INDEX 160"
,,161,"INDEX 161",,,"INDEX 161"
,,162,"INDEX 162",,,"INDEX 162"
,,163,"INDEX 163",,,"INDEX 163"
,,164,"INDEX 164",,,"INDEX 164"
,,165,"INDEX 165",,,"INDEX 165"
,,166,"INDEX 166",,,"INDEX 166"
,,167,"INDEX 167",,,"INDEX 167"
,,168,"INDEX 168",,,"INDEX 168"
,,169,"INDEX 169",,,"INDEX 169"
,,170,"INDEX 170",,,"INDEX 170"
,,171,"INDEX 171",,,"INDEX 171"
,,172,"INDEX 172",,,"INDEX 172"
,,173,"INDEX 173",,,"INDEX 173"
,,174,"INDEX 174",,,"INDEX 174"
,,175,"INDEX 175",,,"INDEX 175"
,,176,"INDEX 176",,,"INDEX 176"
,,177,"INDEX 177",,,"INDEX 177"
,,178,"INDEX 178",,,"INDEX 178"
,,179,"INDEX 179",,,"INDEX 179"
,,180,"INDEX 180",,,"INDEX 180"
,,181,"INDEX 181",,,"INDEX 181"
,,182,"INDEX 182",,,"INDEX 182"
,,183,"INDEX 183",,,"INDEX 183"
,,184,"INDEX 184",,,"INDEX 184"
,,185,"INDEX 185",,,"INDEX 185"
,,186,"INDEX 186",,,"INDEX 186"
,,187,"INDEX 187",,,"INDEX 187"
,,188,"INDEX 188",,,"INDEX 188"
,,189,"INDEX 189",,,"INDEX 189"
,,190,"INDEX 190",,,"INDEX 190"
,,191,"INDEX 191",,,"INDEX 191"
,,192,"INDEX 192",,,"INDEX 192"
,,193,"INDEX 193",,,"INDEX 193"
,,194,"INDEX 194",,,"INDEX 194"
,,195,"INDEX 195",,,"INDEX 195"
,,196,"INDEX 196",,,"INDEX 196"
,,197,"INDEX 197",,,"INDEX 197"
,,198,"INDEX 198",,,"INDEX 198"
,,199,"INDEX 199",,,"INDEX 199"
,,200,"INDEX 200",,,"INDEX 200"
,,201,"INDEX 201",,,"INDEX 201"
,,202,"INDEX 202",,,"INDEX 202"
,,203,"INDEX 203",,,"INDEX 203"
,,204,"INDEX 204",,,"INDEX 204"
,,205,"INDEX 205",,,"INDEX 205"
,,206,"INDEX 206",,,"INDEX 206"
,,207,"INDEX 207",,,"INDEX 207"
,,208,"INDEX 208",,,"INDEX 208"
,,209,"INDEX 209",,,"INDEX 209"
,,210,"INDEX 210",,,"INDEX 210"
,,211,"INDEX 211",,,"INDEX 211"
,,212,"INDEX 212",,,"INDEX 212"
,,213,"INDEX 213",,,"INDEX 213"
,,214,"INDEX 214",,,"INDEX 214"
,,215,"INDEX 215",,,"INDEX 215"
,,216,"INDEX 216",,,"INDEX 216"
,,217,"INDEX 217",,,"INDEX 217"
,,218,"INDEX 218",,,"INDEX 218"
,,219,"INDEX 219",,,"INDEX 219"
,,220,"INDEX 220",,,"INDEX 220"
,,221,"INDEX 221",,,"INDEX 221"
,,222,"INDEX 222",,,"INDEX 222"
,,223,"INDEX 223",,,"INDEX 223"
,,224,"INDEX 224",,,"INDEX 224"
,,225,"INDEX 225",,,"INDEX 225"
,,226,"INDEX 226",,,"INDEX 226"
,,227,"INDEX 227",,,"INDEX 227"
,,228,"INDEX 228",,,"INDEX 228"
,,229,"INDEX 229",,,"INDEX 229"
,,230,"INDEX 230",,,"INDEX 230"
,,231,"INDEX 231",,,"INDEX 231"
,,232,"INDEX 232",,,"INDEX 232"
,,233,"INDEX 233",,,"INDEX 233"
,,234,"INDEX 234",,,"INDEX 234"
,,235,"INDEX 235",,,"INDEX 235"
,,236,"INDEX 236",,,"INDEX 236"
,,237,"INDEX 237",,,"INDEX 237"
,,238,"INDEX 238",,,"INDEX 238"
,,239,"INDEX 239",,,"INDEX 239"
,,240,"INDEX 240",,,"INDEX 240"
,,241,"INDEX 241",,,"INDEX 241"
,,242,"INDEX 242",,,"INDEX 242"
,,243,"INDEX 243",,,"INDEX 243"
,,244,"INDEX 244",,,"INDEX 244"
,,245,"INDEX 245",,,"INDEX 245"
,,246,"INDEX 246",,,"INDEX 246"
,,247,"INDEX 247",,,"INDEX 247"
,,248,"INDEX 248",,,"INDEX 248"
,,249,"INDEX 249",,,"INDEX 249"
,,250,"INDEX 250",,,"INDEX 250"
,,251,"INDEX 251",,,"INDEX 251"
,,252,"INDEX 252",,,"INDEX 252"
,,253,"INDEX 253",,,"INDEX 253"
,,254,"INDEX 254",,,"INDEX 254"
,,255,"INDEX 255",,,"INDEX 255"
,,256,"INDEX 256",,,"INDEX 256"
,,257,"INDEX 257",,,"INDEX 257"
,,258,"INDEX 258",,,"INDEX 258"
,,259,"INDEX 259",,,"INDEX 259"
,,260,"INDEX 260",,,"INDEX 260"
,,261,"INDEX 261",,,"INDEX 261"
,,262,"INDEX 262",,,"INDEX 262"
,,263,"INDEX 263",,,"INDEX 263"
,,264,"INDEX 264",,,"INDEX 264"
,,265,"INDEX 265",,,"INDEX 265"
,,266,"INDEX 266",,,"INDEX 266"
,,267,"INDEX 267",,,"INDEX 267"
,,268,"INDEX 268",,,"INDEX 268"
,,269,"INDEX 269",,,"INDEX 269"
,,270,"INDEX 270",,,"INDEX 270"
,,271,"INDEX 271",,,"INDEX 271"
,,272,"INDEX 272",,,"INDEX 272"
,,273,"INDEX 273",,,"INDEX 273"
,,274,"INDEX 274",,,"INDEX 274"
,,275,"INDEX 275",,,"INDEX 275"
,,276,"INDEX 276",,,"INDEX 276"
,,277,"INDEX 277",,,"INDEX 277"
,,278,"INDEX 278",,,"INDEX 278"
,,279,"INDEX 279",,,"INDEX 279"
,,280,"INDEX 280",,,"INDEX 280"
,,281,"INDEX 281",,,"INDEX 281"
,,282,"INDEX 282",,,"INDEX 282"
,,283,"INDEX 283",,,"INDEX 283"
,,284,"INDEX 284",,,"INDEX 284"
,,285,"INDEX 285",,,"INDEX 285"
,,286,"INDEX 286",,,"INDEX 286"
,,287,"INDEX 287",,,"INDEX 287"
,,288,"INDEX 288",,,"INDEX 288"
,,289,"INDEX 289",,,"INDEX 289"
,,290,"INDEX 290",,,"INDEX 290"
,,291,"INDEX 291",,,"INDEX 291"
,,292,"INDEX 292",,,"INDEX 292"
,,293,"INDEX 293",,,"INDEX 293"
,,294,"INDEX 294",,,"INDEX 294"
,,295,"INDEX 295",,,"INDEX 295"
,,296,"INDEX 296",,,"INDEX 296"
,,297,"INDEX 297",,,"INDEX 297"
,,298,"INDEX 298",,,"INDEX 298"
,,299,"INDEX 299",,,"INDEX 299"
